,url_cleaned,topic_percentage,topic
5,"['premium', 'lefigaro']",0.5770249366760254,emploi/finance
6,"['cuisin', 'journaldesfemm', 'recett', 'dessert']",0.5388911366462708,emploi/finance
7,"['lachainemeteo', 'meteo', 'franc', 'vill', 'previs', 'meteo', 'bordeaux', 'aujourdhui']",0.8329801559448242,emploi/finance
8,"['sant', 'journaldesfemm', 'psychologi', 'horoscop', 'chinoi', 'chien', 'jour']",0.8329984545707703,emploi/finance
9,"['sant', 'journaldesfemm', 'psychologi', 'horoscop', 'chinoi', 'chien', 'demain']",0.5119714140892029,santé/symptomes
10,"['tvmag', 'lefigaro', 'programm', 'soir']",0.5818686485290527,emploi/finance
11,"['sant', 'journaldesfemm', 'psychologi', 'horoscop', 'zodiaqu', 'cancer', 'jour']",0.721065104007721,météo
12,"['sant', 'journaldesfemm', 'psychologi', 'horoscop', 'chinoi']",0.895666778087616,météo
13,"['commentcamarch', 'voir', 'factur', 'free', 'compt']",0.6893625259399414,Trintignan (acteur)
14,"['sant', 'journaldesfemm', 'psychologi', 'horoscop', 'zodiaqu', 'cancer', 'demain']",0.8608311414718628,Trintignan (acteur)
15,"['lefigaro', 'vox', 'societ', 'artfig', 'mathieu', 'bock', 'cote', 'nouvel', 'censur', 'extrem', 'gauch', 'racialist']",0.7213200330734253,météo
16,"['lefigaro', 'conjonctur', 'artfig', 'negoci', 'tendu', 'remuner', 'fonctionnair', 'lundi']",0.8806529641151428,gossip
17,"['droit', 'financ', 'commentcamarch', 'aven', 'contrat', 'travail', 'refu', 'droit', 'salari']",0.8329084515571594,Trintignan (acteur)
18,"['viadeo', 'network', 'request']",0.5814319849014282,cuisine
19,"['cadremploi', 'emploi', 'offr']",0.8805058002471924,Trintignan (acteur)
20,"['cuisin', 'journaldesfemm']",0.8318628668785095,Trintignan (acteur)
21,"['cuisin', 'journaldesfemm', 'recett', 'pate', 'crepe']",0.7212811708450317,gossip
22,"['lefigaro', 'intern', 'artfig', 'etat', 'uni', 'train', 'vie', 'dispendieux', 'paul', 'manafort', 'devant', 'jure']",0.4755857586860657,emploi/finance
23,"['commentcamarch', 'forum', 'affich', 'alert', 'siren', 'mairi']",0.5825166702270508,gossip
24,"['lefigaro', 'musiqu', 'artfig', 'sanglant', 'bagarr', 'entr', 'rappeur', 'booba', 'kaari', 'aeroport', 'orli']",0.7221312522888184,emploi/finance
25,"['droit', 'financ', 'commentcamarch', 'loi', 'alur', 'nouvel', 'mesur']",0.5815554857254028,météo
26,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'natasha', 'pier']",0.7211000323295593,météo
27,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'toni', 'bullimor']",0.8319254517555237,gossip
28,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'booba', 'kaari']",0.8320391774177551,cuisine
29,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'charlen', 'monaco', 'adriana', 'karembeu']",0.7908105850219727,santé/symptomes
30,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'brooklyn', 'beckham']",0.8599574565887451,emploi/finance
31,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'romeo', 'oscar', 'fil', 'sylvi', 'tellier']",0.8803178071975708,gossip
32,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'maril', 'berri']",0.8803153038024902,gossip
33,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'ev', 'ang']",0.8952068090438843,santé/symptomes
34,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'britnei', 'spear']",0.8803185820579529,gossip
35,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'celin', 'dion']",0.8803102374076843,gossip
36,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'kylian', 'mbapp']",0.8803262710571289,gossip
37,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'lauri', 'cholewa']",0.880324125289917,gossip
38,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'emmanuel', 'brigitt', 'macron']",0.8803038597106934,gossip
39,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star']",0.8803234696388245,gossip
40,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'eva', 'longoria']",0.8803011775016785,gossip
41,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'kim', 'kardashian']",0.8803083896636963,gossip
42,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'florent', 'pagni']",0.8803192973136902,gossip
43,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'demi', 'lovato']",0.895325243473053,gossip
44,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'mila', 'kuni', 'ashton', 'kutcher']",0.8803245425224304,gossip
45,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'harri', 'style']",0.8803262114524841,gossip
46,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'laurent', 'ournac']",0.880325973033905,gossip
47,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'robin', 'william']",0.8803238868713379,gossip
48,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'carla', 'bruni', 'sarkozi', 'nicola', 'sarkozi']",0.8803196549415588,gossip
49,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'natasha', 'pier']",0.880307674407959,gossip
50,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'camil', 'gottlieb']",0.8803131580352783,gossip
51,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'luca', 'hernandez']",0.8952043652534485,gossip
52,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'kate', 'moss', 'naomi', 'campbel']",0.8803077340126038,gossip
53,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'ayem', 'nour']",0.8803032636642456,gossip
54,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'bob', 'sinclar']",0.8803250193595886,gossip
55,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'estel', 'lefebur', 'emma', 'smet']",0.8803262114524841,gossip
56,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'lauri', 'thilleman']",0.8803033232688904,gossip
57,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'robert', 'pattinson', 'suki', 'waterhous']",0.8803249597549438,gossip
58,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'rachel', 'legrain', 'trapani']",0.8803256154060364,gossip
59,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'maxim', 'nucci']",0.8803234696388245,gossip
60,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'clara', 'morgan']",0.8803187012672424,gossip
61,"['droit', 'financ', 'commentcamarch', 'retard', 'salair', 'vo', 'recour']",0.8803250193595886,gossip
62,"['immobili', 'lefigaro', 'annonc', 'resultat', 'annonc']",0.8803225755691528,gossip
63,"['immobili', 'lefigaro', 'annonc', 'perso', 'alert']",0.8803250789642334,gossip
64,"['lefigaro', 'cinema', 'artfig', 'mission', 'imposs', 'ladi', 'mario', 'film', 'voir', 'evit', 'cett', 'semain']",0.8803216814994812,gossip
65,"['lefigaro', 'actualit', 'franc', 'artfig', 'benalla', 'regl', 'compt', 'servic', 'securit', 'presid']",0.8803062438964844,gossip
66,"['lefigaro', 'vox', 'politiqu', 'artfig', 'natacha', 'poloni', 'viennent', 'chercher']",0.45607346296310425,emploi/finance
67,"['lefigaro', 'actualit', 'franc', 'artfig', 'affair', 'benalla', 'cabinet', 'minister', 'interieur', 'auditionn', 'senat']",0.40399131178855896,Trintignan (acteur)
68,"['lefigaro', 'politiqu', 'artfig', 'affair', 'benalla', 'macron', 'rumin', 'vengeanc']",0.4988853633403778,Trintignan (acteur)
69,"['lefigaro', 'conso', 'artfig', 'voitur', 'neuv', 'plu', 'chere', 'mond', 'cout', 'million', 'euro']",0.8320503234863281,cuisine
70,"['lefigaro', 'flash', 'actu']",0.8599437475204468,météo
71,"['lefigaro', 'decideur', 'manag', 'artfig', 'contraint', 'rester', 'connect', 'salari', 'dedommag', 'plu', 'euro']",0.4791259467601776,gossip
72,"['lefigaro', 'intern', 'artfig', 'etat', 'uni', 'quiet', 'ski', 'programm', 'espionn', 'passag', 'avion']",0.860011875629425,météo
73,['lefigaro'],0.6472371220588684,gossip
74,"['lefigaro', 'social', 'artfig', 'chomagel', 'gouvern', 'pourrait', 'attaqu', 'indemnis', 'cadr']",0.4545240104198456,emploi/finance
75,"['lefigaro', 'actualit', 'franc', 'artfig', 'mariag', 'forc', 'elu', 'famil', 'devant', 'tribun']",0.7205676436424255,cuisine
76,"['lefigaro', 'musiqu', 'artfig', 'quinz', 'an', 'apr', 'mort', 'mari', 'trintign', 'imposs', 'retour', 'bertrand', 'cantat']",0.8601915836334229,santé/symptomes
77,"['lefigaro', 'conjonctur', 'artfig', 'pourquoi', 'haut', 'fonctionnair', 'craignent', 'afflux', 'salari', 'prive']",0.831906795501709,gossip
78,"['lefigaro', 'scienc', 'artfig', 'pourquoi', 'chaleur', 'criminel', 'silencieux']",0.1666666716337204,Trintignan (acteur)
79,"['lefigaro', 'voyag']",0.5799399614334106,gossip
80,"['client', 'lefigaro', 'webloggialefigaro', 'espacecli', 'sedesinscrir']",0.508293628692627,Trintignan (acteur)
81,"['client', 'lefigaro', 'webloggialefigaro', 'espacecli', 'validerdesinscript']",0.9066390991210938,Trintignan (acteur)
82,"['linternaut', 'actualit', 'educ', 'resultat', 'brevet', 'academi', 'academi', 'tou', 'resultat']",0.8319259285926819,gossip
83,"['resultat', 'brevet', 'linternaut', 'academi', 'creteil']",0.8318249583244324,santé/symptomes
84,"['cuisin', 'journaldesfemm', 'recett', 'salad', 'riz']",0.5826863050460815,cuisine
85,"['lefigaro', 'conjonctur', 'artfig', 'francai', 'seul', 'occidentaux', 'pa', 'exager', 'ampleur', 'immigr', 'musulman']",0.1666666716337204,Trintignan (acteur)
86,"['lefigaro', 'politiqu', 'scan', 'artfig', 'avant', 'vacanc', 'macron', 'invit', 'ministr', 'diner', 'convivi', 'elyse']",0.1666666716337204,Trintignan (acteur)
87,"['lefigaro', 'conso', 'artfig', 'prix', 'gaz', 'encadr', 'loyer', 'arm', 'chass', 'chang', 'aout']",0.8322229981422424,météo
88,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'laurenc', 'boccolini']",0.7199999690055847,météo
89,"['journaldesfemm', 'peopl', 'magazin', 'week', 'end', 'chez', 'star', 'margaux', 'thibault']",0.7210826277732849,météo
90,"['linternaut', 'voyag', 'transport', 'passager', 'urin', 'dan', 'couloir', 'avion', 'video']",0.7905242443084717,gossip
91,"['lefigaro', 'actualit', 'franc', 'artfig', 'lign', 'metro', 'parisien', 'bloque', 'passag', 'perdent', 'calm']",0.8329371213912964,gossip
92,"['journaldunet', 'patrimoin', 'guid', 'financ', 'personnel', 'alloc', 'rentre', 'scolair', 'quand', 'allez', 'vou', 'recevoir']",0.7208675146102905,Trintignan (acteur)
93,['cadremploi'],0.8803216814994812,gossip
94,"['cadremploi', 'emploi', 'list', 'offr']",0.8803220987319946,gossip
95,"['linternaut', 'actualit', 'societ', 'sold', 'date', 'fin', 'sold', 'selon', 'votr', 'depart']",0.832760214805603,cuisine
96,"['premium', 'lefigaro', 'actualit', 'franc']",0.7898279428482056,Trintignan (acteur)
97,"['madam', 'lefigaro', 'celebrit', 'juli', 'gayet', 'revel', 'attire', 'chez', 'francoi', 'holland']",0.5131593942642212,santé/symptomes
98,"['sant', 'medecin', 'journaldesfemm', 'malais', 'vagal', 'caus', 'symptom', 'traitement']",0.5831219553947449,emploi/finance
99,"['droit', 'financ', 'commentcamarch', 'date', 'versement', 'ar', 'rentre', 'scolair']",0.7914376854896545,emploi/finance
100,"['lefigaro', 'scienc', 'artfig', 'ver', 'congel', 'pendant', 'an', 'dan', 'permafrost', 'revenu', 'vie']",0.859864354133606,santé/symptomes
101,"['tvmag', 'lefigaro', 'programm', 'zone', 'interdit', 'enquet', 'foli', 'camp', 'car', 'cedfaa']",0.7900974154472351,Trintignan (acteur)
102,"['lachainemeteo', 'meteo', 'franc', 'vill', 'previs', 'meteo', 'marseil', 'aujourdhui']",0.4594908356666565,météo
